Kategorie: Alle Kategorien

Monat,Calima: (Asturien)
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,100
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,69
2006-05,0
2006-06,0
2006-07,0
2006-08,67
2006-09,38
2006-10,39
2006-11,0
2006-12,0
2007-01,0
2007-02,31
2007-03,30
2007-04,0
2007-05,0
2007-06,33
2007-07,0
2007-08,33
2007-09,33
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,42
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,35
2009-02,0
2009-03,0
2009-04,69
2009-05,23
2009-06,0
2009-07,0
2009-08,45
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,35
2010-02,0
2010-03,21
2010-04,0
2010-05,0
2010-06,32
2010-07,0
2010-08,23
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,4
2011-03,3
2011-04,0
2011-05,2
2011-06,0
2011-07,0
2011-08,0
2011-09,2
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,1
2012-04,0
2012-05,0
2012-06,3
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,1
2013-06,2
2013-07,0
2013-08,0
2013-09,2
2013-10,0
2013-11,0
2013-12,1
2014-01,0
2014-02,0
2014-03,4
2014-04,2
2014-05,0
2014-06,0
2014-07,3
2014-08,6
2014-09,0
2014-10,3
2014-11,0
2014-12,2
