Kategorie: Alle Kategorien

Monat,Calima: (Kanarische Inseln)
2005-01,0
2005-02,0
2005-03,100
2005-04,0
2005-05,58
2005-06,0
2005-07,68
2005-08,0
2005-09,0
2005-10,83
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,31
2006-04,0
2006-05,0
2006-06,51
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,19
2007-11,16
2007-12,0
2008-01,48
2008-02,0
2008-03,0
2008-04,17
2008-05,24
2008-06,0
2008-07,54
2008-08,0
2008-09,0
2008-10,17
2008-11,0
2008-12,23
2009-01,0
2009-02,0
2009-03,32
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,18
2009-09,0
2009-10,0
2009-11,0
2009-12,23
2010-01,17
2010-02,0
2010-03,12
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,13
2010-09,15
2010-10,0
2010-11,0
2010-12,0
2011-01,5
2011-02,0
2011-03,0
2011-04,2
2011-05,1
2011-06,7
2011-07,1
2011-08,3
2011-09,2
2011-10,2
2011-11,3
2011-12,0
2012-01,2
2012-02,0
2012-03,14
2012-04,3
2012-05,6
2012-06,18
2012-07,4
2012-08,5
2012-09,1
2012-10,0
2012-11,1
2012-12,2
2013-01,3
2013-02,17
2013-03,1
2013-04,8
2013-05,0
2013-06,4
2013-07,4
2013-08,8
2013-09,1
2013-10,2
2013-11,5
2013-12,1
2014-01,2
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,5
2014-07,0
2014-08,3
2014-09,0
2014-10,5
2014-11,4
2014-12,9
