Kategorie: Alle Kategorien

Monat,Calima: (Autonome Gemeinschaft Madrid)
2005-01,37
2005-02,24
2005-03,42
2005-04,23
2005-05,17
2005-06,29
2005-07,80
2005-08,0
2005-09,0
2005-10,13
2005-11,20
2005-12,66
2006-01,29
2006-02,25
2006-03,26
2006-04,41
2006-05,33
2006-06,34
2006-07,64
2006-08,73
2006-09,24
2006-10,0
2006-11,60
2006-12,16
2007-01,37
2007-02,44
2007-03,47
2007-04,32
2007-05,47
2007-06,63
2007-07,100
2007-08,54
2007-09,39
2007-10,45
2007-11,51
2007-12,11
2008-01,56
2008-02,30
2008-03,22
2008-04,59
2008-05,50
2008-06,26
2008-07,71
2008-08,75
2008-09,33
2008-10,36
2008-11,30
2008-12,20
2009-01,31
2009-02,19
2009-03,64
2009-04,34
2009-05,29
2009-06,60
2009-07,49
2009-08,70
2009-09,47
2009-10,32
2009-11,44
2009-12,28
2010-01,33
2010-02,27
2010-03,67
2010-04,40
2010-05,34
2010-06,37
2010-07,52
2010-08,79
2010-09,17
2010-10,23
2010-11,38
2010-12,18
2011-01,0
2011-02,31
2011-03,14
2011-04,39
2011-05,17
2011-06,47
2011-07,48
2011-08,60
2011-09,21
2011-10,18
2011-11,23
2011-12,31
2012-01,58
2012-02,18
2012-03,64
2012-04,28
2012-05,48
2012-06,96
2012-07,62
2012-08,98
2012-09,23
2012-10,18
2012-11,20
2012-12,32
2013-01,40
2013-02,75
2013-03,28
2013-04,51
2013-05,26
2013-06,47
2013-07,48
2013-08,89
2013-09,34
2013-10,32
2013-11,27
2013-12,26
2014-01,32
2014-02,22
2014-03,16
2014-04,33
2014-05,24
2014-06,27
2014-07,46
2014-08,34
2014-09,6
2014-10,22
2014-11,12
2014-12,62
