Kategorie: Alle Kategorien

Monat,Calima: (Andalusien),contaminacion: (Andalusien)
2005-01,58,44
2005-02,0,43
2005-03,0,0
2005-04,52,28
2005-05,0,0
2005-06,0,0
2005-07,0,100
2005-08,0,0
2005-09,0,0
2005-10,0,21
2005-11,0,0
2005-12,0,0
2006-01,0,50
2006-02,0,0
2006-03,0,20
2006-04,0,23
2006-05,0,27
2006-06,0,27
2006-07,0,0
2006-08,26,18
2006-09,0,0
2006-10,12,0
2006-11,0,50
2006-12,0,36
2007-01,0,28
2007-02,0,0
2007-03,0,20
2007-04,0,20
2007-05,0,22
2007-06,10,15
2007-07,14,9
2007-08,16,0
2007-09,7,25
2007-10,0,17
2007-11,6,19
2007-12,6,19
2008-01,0,18
2008-02,0,21
2008-03,0,31
2008-04,0,27
2008-05,6,20
2008-06,7,13
2008-07,0,0
2008-08,0,0
2008-09,0,16
2008-10,12,19
2008-11,0,25
2008-12,0,16
2009-01,15,20
2009-02,0,16
2009-03,0,12
2009-04,0,14
2009-05,0,18
2009-06,0,20
2009-07,0,13
2009-08,0,0
2009-09,12,11
2009-10,7,27
2009-11,4,15
2009-12,7,16
2010-01,9,23
2010-02,0,11
2010-03,4,22
2010-04,0,20
2010-05,0,17
2010-06,0,14
2010-07,10,0
2010-08,10,6
2010-09,0,6
2010-10,7,19
2010-11,0,19
2010-12,0,13
2011-01,0,9
2011-02,1,10
2011-03,1,11
2011-04,2,6
2011-05,1,11
2011-06,2,11
2011-07,1,4
2011-08,2,4
2011-09,1,5
2011-10,2,7
2011-11,1,11
2011-12,<1,8
2012-01,<1,9
2012-02,1,10
2012-03,3,9
2012-04,<1,6
2012-05,1,10
2012-06,4,9
2012-07,1,3
2012-08,3,3
2012-09,1,3
2012-10,1,7
2012-11,0,10
2012-12,1,8
2013-01,1,7
2013-02,1,7
2013-03,1,8
2013-04,3,8
2013-05,1,11
2013-06,3,7
2013-07,3,2
2013-08,3,3
2013-09,2,4
2013-10,2,7
2013-11,1,12
2013-12,2,7
2014-01,<1,8
2014-02,0,9
2014-03,1,9
2014-04,1,7
2014-05,1,8
2014-06,1,9
2014-07,2,3
2014-08,2,3
2014-09,1,4
2014-10,1,9
2014-11,1,11
2014-12,1,6
