Kategorie: Alle Kategorien

Monat,Calima: (Aragonien),contaminacion: (Aragonien)
2005-01,0,0
2005-02,0,38
2005-03,50,0
2005-04,54,94
2005-05,56,50
2005-06,0,0
2005-07,0,52
2005-08,0,0
2005-09,0,0
2005-10,0,39
2005-11,93,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,29
2006-04,60,33
2006-05,0,0
2006-06,100,0
2006-07,56,51
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,32,55
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,25,38
2007-04,0,0
2007-05,0,0
2007-06,0,25
2007-07,40,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,29,0
2007-12,0,0
2008-01,0,20
2008-02,0,0
2008-03,0,0
2008-04,0,46
2008-05,0,0
2008-06,18,0
2008-07,0,51
2008-08,0,0
2008-09,0,0
2008-10,0,47
2008-11,20,0
2008-12,20,28
2009-01,0,18
2009-02,0,20
2009-03,0,0
2009-04,15,0
2009-05,0,0
2009-06,26,16
2009-07,18,0
2009-08,0,0
2009-09,16,0
2009-10,0,14
2009-11,0,0
2009-12,0,25
2010-01,0,23
2010-02,0,26
2010-03,0,0
2010-04,0,25
2010-05,0,0
2010-06,0,0
2010-07,35,0
2010-08,22,0
2010-09,0,0
2010-10,14,0
2010-11,0,0
2010-12,0,0
2011-01,0,5
2011-02,5,7
2011-03,0,6
2011-04,0,7
2011-05,0,4
2011-06,2,3
2011-07,0,2
2011-08,0,2
2011-09,0,4
2011-10,0,2
2011-11,0,9
2011-12,0,2
2012-01,0,4
2012-02,0,5
2012-03,1,2
2012-04,0,2
2012-05,0,9
2012-06,0,6
2012-07,0,2
2012-08,0,1
2012-09,1,0
2012-10,0,2
2012-11,0,2
2012-12,1,3
2013-01,0,2
2013-02,0,2
2013-03,0,3
2013-04,0,3
2013-05,2,3
2013-06,0,2
2013-07,0,1
2013-08,0,0
2013-09,0,1
2013-10,0,5
2013-11,0,1
2013-12,0,5
2014-01,1,4
2014-02,0,4
2014-03,1,6
2014-04,1,0
2014-05,1,4
2014-06,0,5
2014-07,0,0
2014-08,2,2
2014-09,0,2
2014-10,3,4
2014-11,0,3
2014-12,0,0
