Kategorie: Alle Kategorien

Monat,Calima: (Asturien),contaminacion: (Asturien)
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,58,0
2005-06,0,0
2005-07,0,0
2005-08,0,44
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,100
2006-04,40,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,39,0
2006-09,22,0
2006-10,23,0
2006-11,0,21
2006-12,0,29
2007-01,0,0
2007-02,18,0
2007-03,18,50
2007-04,0,0
2007-05,0,0
2007-06,19,0
2007-07,0,0
2007-08,19,0
2007-09,20,17
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,25,26
2008-06,0,0
2008-07,0,24
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,21,0
2009-02,0,0
2009-03,0,0
2009-04,40,0
2009-05,14,0
2009-06,0,0
2009-07,0,0
2009-08,26,18
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,21,22
2010-02,0,0
2010-03,12,55
2010-04,0,0
2010-05,0,0
2010-06,19,0
2010-07,0,0
2010-08,14,0
2010-09,0,16
2010-10,0,13
2010-11,0,17
2010-12,0,0
2011-01,0,0
2011-02,0,6
2011-03,2,4
2011-04,0,0
2011-05,1,4
2011-06,0,3
2011-07,0,3
2011-08,0,0
2011-09,1,2
2011-10,0,3
2011-11,0,3
2011-12,0,3
2012-01,0,3
2012-02,0,2
2012-03,1,3
2012-04,0,1
2012-05,0,0
2012-06,2,0
2012-07,0,4
2012-08,0,0
2012-09,0,1
2012-10,0,3
2012-11,0,3
2012-12,0,1
2013-01,0,1
2013-02,0,3
2013-03,0,2
2013-04,0,1
2013-05,1,1
2013-06,1,2
2013-07,0,1
2013-08,0,1
2013-09,1,1
2013-10,0,3
2013-11,0,4
2013-12,1,2
2014-01,0,0
2014-02,0,0
2014-03,4,3
2014-04,1,3
2014-05,0,3
2014-06,0,2
2014-07,1,1
2014-08,3,3
2014-09,0,0
2014-10,2,2
2014-11,0,4
2014-12,1,2
