Kategorie: Alle Kategorien

Monat,Calima: (Kastilien und León),contaminacion: (Kastilien und León)
2005-01,0,66
2005-02,0,0
2005-03,0,36
2005-04,52,73
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,100
2005-10,0,0
2005-11,0,0
2005-12,47,0
2006-01,0,74
2006-02,0,0
2006-03,0,0
2006-04,0,33
2006-05,0,76
2006-06,0,47
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,62
2007-04,0,0
2007-05,0,0
2007-06,0,26
2007-07,0,53
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,51
2008-01,23,0
2008-02,0,24
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,33
2008-08,45,0
2008-09,62,21
2008-10,0,0
2008-11,0,27
2008-12,0,0
2009-01,0,0
2009-02,0,21
2009-03,0,19
2009-04,38,0
2009-05,20,44
2009-06,0,0
2009-07,0,0
2009-08,0,36
2009-09,20,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,28
2010-02,0,43
2010-03,0,0
2010-04,0,0
2010-05,15,0
2010-06,0,0
2010-07,0,27
2010-08,0,21
2010-09,0,25
2010-10,0,14
2010-11,0,0
2010-12,17,0
2011-01,1,5
2011-02,1,8
2011-03,0,7
2011-04,0,10
2011-05,0,8
2011-06,0,3
2011-07,0,2
2011-08,0,0
2011-09,0,4
2011-10,0,6
2011-11,0,5
2011-12,1,4
2012-01,0,8
2012-02,0,3
2012-03,2,6
2012-04,0,5
2012-05,0,7
2012-06,4,5
2012-07,0,0
2012-08,0,0
2012-09,0,0
2012-10,0,5
2012-11,0,8
2012-12,0,6
2013-01,1,7
2013-02,1,6
2013-03,0,8
2013-04,1,2
2013-05,1,8
2013-06,1,6
2013-07,3,0
2013-08,1,0
2013-09,0,1
2013-10,0,4
2013-11,0,6
2013-12,0,2
2014-01,0,4
2014-02,0,6
2014-03,1,6
2014-04,1,6
2014-05,2,6
2014-06,0,3
2014-07,1,0
2014-08,0,0
2014-09,0,1
2014-10,0,3
2014-11,2,5
2014-12,1,2
