Kategorie: Alle Kategorien

Monat,Calima: (Kanarische Inseln),contaminacion: (Kanarische Inseln)
2005-01,0,34
2005-02,0,0
2005-03,70,0
2005-04,0,0
2005-05,40,0
2005-06,0,55
2005-07,94,0
2005-08,0,0
2005-09,0,0
2005-10,58,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,24
2006-03,21,38
2006-04,0,0
2006-05,0,24
2006-06,36,0
2006-07,0,47
2006-08,0,0
2006-09,0,0
2006-10,0,15
2006-11,0,14
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,19,25
2007-04,0,13
2007-05,0,0
2007-06,0,11
2007-07,0,45
2007-08,0,0
2007-09,0,0
2007-10,13,100
2007-11,11,26
2007-12,0,0
2008-01,33,25
2008-02,0,0
2008-03,0,33
2008-04,12,0
2008-05,17,27
2008-06,0,0
2008-07,38,17
2008-08,0,0
2008-09,0,28
2008-10,12,0
2008-11,0,17
2008-12,0,0
2009-01,0,0
2009-02,0,13
2009-03,22,0
2009-04,0,10
2009-05,0,28
2009-06,0,12
2009-07,0,29
2009-08,0,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,16,0
2010-01,12,10
2010-02,0,0
2010-03,8,0
2010-04,0,8
2010-05,0,22
2010-06,0,9
2010-07,0,17
2010-08,9,0
2010-09,11,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,4,2
2011-02,0,8
2011-03,0,3
2011-04,1,4
2011-05,1,3
2011-06,5,2
2011-07,1,1
2011-08,2,3
2011-09,1,3
2011-10,2,4
2011-11,2,4
2011-12,0,5
2012-01,1,7
2012-02,0,2
2012-03,9,4
2012-04,2,5
2012-05,4,5
2012-06,12,3
2012-07,3,0
2012-08,4,0
2012-09,1,1
2012-10,0,4
2012-11,0,3
2012-12,1,3
2013-01,2,4
2013-02,12,6
2013-03,1,4
2013-04,5,5
2013-05,0,6
2013-06,3,2
2013-07,3,3
2013-08,6,0
2013-09,1,3
2013-10,2,3
2013-11,3,4
2013-12,1,1
2014-01,1,4
2014-02,4,5
2014-03,3,2
2014-04,3,4
2014-05,3,5
2014-06,4,5
2014-07,0,2
2014-08,2,2
2014-09,0,4
2014-10,3,5
2014-11,1,5
2014-12,7,1
