Kategorie: Alle Kategorien

Monat,Calima: (Katalonien),contaminacion: (Katalonien)
2005-01,0,81
2005-02,36,97
2005-03,0,54
2005-04,0,77
2005-05,0,0
2005-06,100,52
2005-07,0,0
2005-08,56,74
2005-09,0,30
2005-10,0,27
2005-11,0,57
2005-12,0,53
2006-01,0,47
2006-02,62,62
2006-03,0,63
2006-04,0,40
2006-05,18,52
2006-06,24,73
2006-07,0,28
2006-08,31,0
2006-09,0,20
2006-10,0,32
2006-11,27,0
2006-12,20,41
2007-01,0,86
2007-02,0,54
2007-03,0,31
2007-04,0,32
2007-05,0,39
2007-06,19,38
2007-07,21,18
2007-08,0,17
2007-09,0,20
2007-10,12,56
2007-11,49,60
2007-12,0,84
2008-01,0,17
2008-02,22,68
2008-03,17,25
2008-04,0,39
2008-05,0,23
2008-06,0,11
2008-07,0,11
2008-08,0,15
2008-09,13,17
2008-10,0,43
2008-11,19,39
2008-12,0,17
2009-01,38,21
2009-02,0,9
2009-03,35,69
2009-04,0,20
2009-05,0,94
2009-06,0,23
2009-07,0,12
2009-08,0,0
2009-09,14,0
2009-10,0,21
2009-11,18,37
2009-12,0,24
2010-01,0,19
2010-02,10,38
2010-03,0,9
2010-04,0,15
2010-05,0,33
2010-06,7,39
2010-07,0,9
2010-08,0,16
2010-09,8,8
2010-10,7,28
2010-11,0,26
2010-12,0,0
2011-01,9,28
2011-02,0,34
2011-03,7,27
2011-04,4,19
2011-05,5,31
2011-06,7,31
2011-07,8,16
2011-08,4,11
2011-09,7,16
2011-10,0,29
2011-11,4,25
2011-12,3,20
2012-01,5,23
2012-02,3,23
2012-03,4,22
2012-04,0,21
2012-05,8,15
2012-06,10,20
2012-07,7,10
2012-08,9,9
2012-09,6,14
2012-10,0,18
2012-11,1,24
2012-12,3,15
2013-01,3,15
2013-02,5,20
2013-03,4,17
2013-04,0,20
2013-05,5,20
2013-06,9,19
2013-07,9,10
2013-08,6,7
2013-09,2,14
2013-10,5,22
2013-11,4,26
2013-12,2,29
2014-01,5,20
2014-02,2,20
2014-03,4,26
2014-04,2,21
2014-05,0,26
2014-06,4,30
2014-07,7,13
2014-08,4,4
2014-09,3,15
2014-10,7,18
2014-11,6,26
2014-12,5,21
