Kategorie: Alle Kategorien

Monat,Calima: (Extremadura),contaminacion: (Extremadura)
2005-01,0,91
2005-02,0,94
2005-03,0,0
2005-04,0,0
2005-05,0,53
2005-06,35,72
2005-07,42,0
2005-08,0,100
2005-09,56,0
2005-10,0,32
2005-11,0,0
2005-12,68,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,30,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,29,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,17
2007-04,0,51
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,36,22
2007-09,25,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,25,0
2008-03,0,0
2008-04,0,0
2008-05,16,0
2008-06,0,0
2008-07,0,0
2008-08,0,38
2008-09,35,32
2008-10,0,0
2008-11,18,0
2008-12,0,0
2009-01,0,17
2009-02,0,12
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,25
2009-07,0,16
2009-08,0,0
2009-09,16,0
2009-10,26,15
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,63
2010-03,0,0
2010-04,17,34
2010-05,27,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,33,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,1
2011-02,<1,0
2011-03,<1,1
2011-04,0,0
2011-05,0,2
2011-06,<1,0
2011-07,0,1
2011-08,0,1
2011-09,0,<1
2011-10,1,<1
2011-11,0,1
2011-12,0,<1
2012-01,<1,1
2012-02,<1,1
2012-03,0,1
2012-04,1,1
2012-05,0,1
2012-06,0,1
2012-07,1,0
2012-08,0,0
2012-09,0,0
2012-10,<1,1
2012-11,0,0
2012-12,0,0
2013-01,<1,1
2013-02,0,0
2013-03,0,0
2013-04,0,<1
2013-05,<1,1
2013-06,1,0
2013-07,1,<1
2013-08,0,0
2013-09,0,<1
2013-10,0,<1
2013-11,0,0
2013-12,<1,1
2014-01,<1,1
2014-02,0,0
2014-03,1,1
2014-04,0,1
2014-05,<1,1
2014-06,0,2
2014-07,1,0
2014-08,<1,0
2014-09,<1,<1
2014-10,0,1
2014-11,<1,<1
2014-12,<1,<1
