Kategorie: Alle Kategorien

Monat,Calima: (Galicien),contaminacion: (Galicien)
2005-01,0,37
2005-02,0,84
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,100,0
2005-08,0,67
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,49
2006-02,0,54
2006-03,0,70
2006-04,0,44
2006-05,0,0
2006-06,33,19
2006-07,0,0
2006-08,0,41
2006-09,24,0
2006-10,28,0
2006-11,0,0
2006-12,0,44
2007-01,0,14
2007-02,20,0
2007-03,12,0
2007-04,0,27
2007-05,0,49
2007-06,0,31
2007-07,39,0
2007-08,70,0
2007-09,0,0
2007-10,0,0
2007-11,0,12
2007-12,0,25
2008-01,9,32
2008-02,0,18
2008-03,29,0
2008-04,0,19
2008-05,0,46
2008-06,0,0
2008-07,0,0
2008-08,64,40
2008-09,0,17
2008-10,0,19
2008-11,0,32
2008-12,0,0
2009-01,0,0
2009-02,0,13
2009-03,0,0
2009-04,0,0
2009-05,21,21
2009-06,0,38
2009-07,13,0
2009-08,0,0
2009-09,0,0
2009-10,0,9
2009-11,0,14
2009-12,0,0
2010-01,0,0
2010-02,0,15
2010-03,12,16
2010-04,0,0
2010-05,0,19
2010-06,0,0
2010-07,0,11
2010-08,37,0
2010-09,0,0
2010-10,12,14
2010-11,0,15
2010-12,0,0
2011-01,0,11
2011-02,0,14
2011-03,0,5
2011-04,3,10
2011-05,0,9
2011-06,4,8
2011-07,0,8
2011-08,3,2
2011-09,0,4
2011-10,3,14
2011-11,4,10
2011-12,0,17
2012-01,0,12
2012-02,2,8
2012-03,0,8
2012-04,3,8
2012-05,0,6
2012-06,0,11
2012-07,0,4
2012-08,0,4
2012-09,2,0
2012-10,0,9
2012-11,0,9
2012-12,0,5
2013-01,0,12
2013-02,0,9
2013-03,0,6
2013-04,0,6
2013-05,3,11
2013-06,0,8
2013-07,0,3
2013-08,0,0
2013-09,0,5
2013-10,0,5
2013-11,2,13
2013-12,4,6
2014-01,0,8
2014-02,2,9
2014-03,0,8
2014-04,2,7
2014-05,0,13
2014-06,0,8
2014-07,2,4
2014-08,0,2
2014-09,0,5
2014-10,0,8
2014-11,0,9
2014-12,2,8
