Kategorie: Alle Kategorien

Monat,Calima: (Autonome Gemeinschaft Madrid),contaminacion: (Autonome Gemeinschaft Madrid)
2005-01,6,100
2005-02,4,96
2005-03,7,91
2005-04,4,97
2005-05,3,90
2005-06,5,59
2005-07,8,36
2005-08,0,31
2005-09,0,38
2005-10,5,68
2005-11,3,77
2005-12,11,61
2006-01,5,71
2006-02,5,94
2006-03,4,70
2006-04,7,53
2006-05,6,71
2006-06,6,39
2006-07,11,23
2006-08,12,26
2006-09,4,28
2006-10,3,48
2006-11,10,68
2006-12,3,54
2007-01,6,60
2007-02,2,57
2007-03,8,53
2007-04,5,48
2007-05,8,54
2007-06,10,41
2007-07,17,20
2007-08,11,21
2007-09,6,29
2007-10,8,61
2007-11,8,53
2007-12,2,42
2008-01,9,53
2008-02,5,59
2008-03,4,50
2008-04,10,60
2008-05,8,69
2008-06,4,57
2008-07,12,24
2008-08,12,32
2008-09,6,39
2008-10,6,64
2008-11,5,64
2008-12,3,34
2009-01,5,41
2009-02,3,52
2009-03,11,58
2009-04,6,65
2009-05,5,81
2009-06,10,65
2009-07,8,28
2009-08,12,35
2009-09,8,43
2009-10,5,64
2009-11,7,66
2009-12,5,39
2010-01,6,41
2010-02,4,48
2010-03,11,53
2010-04,7,60
2010-05,6,78
2010-06,6,62
2010-07,9,26
2010-08,13,33
2010-09,3,45
2010-10,4,61
2010-11,6,64
2010-12,3,32
2011-01,0,39
2011-02,5,74
2011-03,2,40
2011-04,6,33
2011-05,3,44
2011-06,8,22
2011-07,5,15
2011-08,10,11
2011-09,4,16
2011-10,3,32
2011-11,4,43
2011-12,5,22
2012-01,10,34
2012-02,3,36
2012-03,11,41
2012-04,5,29
2012-05,8,27
2012-06,16,29
2012-07,10,10
2012-08,16,12
2012-09,4,14
2012-10,3,20
2012-11,3,24
2012-12,5,21
2013-01,7,24
2013-02,13,27
2013-03,5,22
2013-04,8,30
2013-05,4,30
2013-06,8,22
2013-07,8,9
2013-08,15,10
2013-09,6,18
2013-10,5,30
2013-11,4,35
2013-12,4,24
2014-01,5,29
2014-02,4,33
2014-03,3,31
2014-04,5,27
2014-05,4,30
2014-06,4,25
2014-07,8,14
2014-08,6,12
2014-09,1,12
2014-10,4,26
2014-11,2,31
2014-12,10,19
