Kategorie: Alle Kategorien

Monat,Calima: (Autonome Gemeinschaft Baskenland),contaminacion: (Autonome Gemeinschaft Baskenland)
2005-01,25,0
2005-02,0,100
2005-03,0,51
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,48,0
2005-08,0,0
2005-09,0,64
2005-10,0,0
2005-11,0,22
2005-12,25,0
2006-01,0,15
2006-02,0,0
2006-03,0,21
2006-04,0,34
2006-05,0,27
2006-06,0,25
2006-07,30,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,36,45
2006-12,0,16
2007-01,0,0
2007-02,0,0
2007-03,0,34
2007-04,0,14
2007-05,0,19
2007-06,0,0
2007-07,0,11
2007-08,0,0
2007-09,0,20
2007-10,8,0
2007-11,0,18
2007-12,0,18
2008-01,0,25
2008-02,17,18
2008-03,0,18
2008-04,0,0
2008-05,0,0
2008-06,13,9
2008-07,0,0
2008-08,16,0
2008-09,0,0
2008-10,0,10
2008-11,7,0
2008-12,0,15
2009-01,0,14
2009-02,0,21
2009-03,0,14
2009-04,0,12
2009-05,21,20
2009-06,0,15
2009-07,0,12
2009-08,0,9
2009-09,0,9
2009-10,0,15
2009-11,8,14
2009-12,0,0
2010-01,0,19
2010-02,20,21
2010-03,0,10
2010-04,0,8
2010-05,5,15
2010-06,6,6
2010-07,9,0
2010-08,0,8
2010-09,0,0
2010-10,12,14
2010-11,4,11
2010-12,0,6
2011-01,2,18
2011-02,0,9
2011-03,0,12
2011-04,3,5
2011-05,2,6
2011-06,3,4
2011-07,0,3
2011-08,0,3
2011-09,0,0
2011-10,0,3
2011-11,0,9
2011-12,0,6
2012-01,0,10
2012-02,3,5
2012-03,0,6
2012-04,0,11
2012-05,5,6
2012-06,2,2
2012-07,0,7
2012-08,7,6
2012-09,0,6
2012-10,0,7
2012-11,0,9
2012-12,2,13
2013-01,0,2
2013-02,2,5
2013-03,3,5
2013-04,1,8
2013-05,3,5
2013-06,0,4
2013-07,2,6
2013-08,3,0
2013-09,5,4
2013-10,2,5
2013-11,0,8
2013-12,0,3
2014-01,0,6
2014-02,3,8
2014-03,0,6
2014-04,1,7
2014-05,2,7
2014-06,0,3
2014-07,1,7
2014-08,2,6
2014-09,0,6
2014-10,2,6
2014-11,0,12
2014-12,1,5
