Kategorie: Alle Kategorien

Monat,Calima: (La Rioja),contaminacion: (La Rioja)
2005-01,0,0
2005-02,0,15
2005-03,0,12
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,13
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,31
2006-04,0,32
2006-05,0,0
2006-06,0,0
2006-07,51,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,36,0
2006-12,42,0
2007-01,46,0
2007-02,0,63
2007-03,0,55
2007-04,36,0
2007-05,0,0
2007-06,0,0
2007-07,0,57
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,40,0
2008-01,0,0
2008-02,0,0
2008-03,32,0
2008-04,100,0
2008-05,0,0
2008-06,22,0
2008-07,0,0
2008-08,0,0
2008-09,65,0
2008-10,0,0
2008-11,41,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,17
2009-08,0,0
2009-09,0,21
2009-10,51,0
2009-11,0,0
2009-12,0,0
2010-01,0,15
2010-02,0,0
2010-03,0,0
2010-04,0,33
2010-05,0,0
2010-06,0,0
2010-07,0,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,28
2011-01,1,0
2011-02,1,1
2011-03,0,1
2011-04,1,0
2011-05,0,0
2011-06,1,1
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,1
2011-12,0,0
2012-01,0,0
2012-02,0,1
2012-03,0,0
2012-04,0,1
2012-05,0,1
2012-06,0,1
2012-07,0,0
2012-08,2,0
2012-09,0,0
2012-10,0,1
2012-11,0,1
2012-12,0,1
2013-01,0,1
2013-02,0,1
2013-03,0,0
2013-04,0,0
2013-05,0,0
2013-06,0,0
2013-07,1,0
2013-08,2,0
2013-09,1,1
2013-10,0,0
2013-11,0,1
2013-12,1,1
2014-01,0,0
2014-02,0,0
2014-03,0,1
2014-04,0,<1
2014-05,0,0
2014-06,0,1
2014-07,0,0
2014-08,0,1
2014-09,0,0
2014-10,1,0
2014-11,0,0
2014-12,0,1
