Kategorie: Alle Kategorien

Monat,Calima: (Spanien),contaminacion: (Spanien)
2005-01,3,83
2005-02,0,100
2005-03,4,85
2005-04,4,87
2005-05,2,97
2005-06,4,61
2005-07,4,19
2005-08,5,29
2005-09,0,30
2005-10,0,61
2005-11,4,82
2005-12,4,61
2006-01,3,66
2006-02,7,84
2006-03,8,77
2006-04,7,57
2006-05,11,71
2006-06,6,46
2006-07,7,25
2006-08,9,18
2006-09,2,30
2006-10,4,47
2006-11,7,59
2006-12,0,58
2007-01,6,63
2007-02,6,54
2007-03,7,58
2007-04,6,49
2007-05,7,61
2007-06,9,46
2007-07,17,23
2007-08,10,18
2007-09,6,29
2007-10,7,56
2007-11,8,52
2007-12,4,43
2008-01,9,52
2008-02,4,57
2008-03,5,53
2008-04,9,57
2008-05,8,66
2008-06,6,52
2008-07,9,24
2008-08,11,30
2008-09,6,37
2008-10,6,58
2008-11,3,62
2008-12,3,34
2009-01,4,43
2009-02,4,50
2009-03,10,55
2009-04,6,56
2009-05,7,72
2009-06,9,57
2009-07,8,24
2009-08,9,28
2009-09,7,35
2009-10,4,57
2009-11,5,55
2009-12,4,36
2010-01,4,41
2010-02,5,45
2010-03,10,48
2010-04,6,52
2010-05,5,67
2010-06,6,54
2010-07,8,21
2010-08,12,28
2010-09,4,36
2010-10,5,50
2010-11,6,55
2010-12,3,31
2011-01,5,34
2011-02,4,55
2011-03,5,38
2011-04,6,29
2011-05,4,39
2011-06,7,33
2011-07,7,16
2011-08,7,12
2011-09,4,18
2011-10,4,33
2011-11,3,38
2011-12,3,27
2012-01,4,32
2012-02,4,34
2012-03,10,35
2012-04,4,29
2012-05,8,34
2012-06,15,28
2012-07,8,11
2012-08,11,10
2012-09,4,15
2012-10,3,24
2012-11,3,30
2012-12,4,24
2013-01,4,26
2013-02,10,29
2013-03,4,27
2013-04,9,29
2013-05,5,33
2013-06,9,24
2013-07,11,10
2013-08,11,10
2013-09,6,16
2013-10,4,29
2013-11,6,36
2013-12,4,27
2014-01,4,29
2014-02,5,32
2014-03,5,34
2014-04,4,27
2014-05,5,34
2014-06,5,29
2014-07,8,13
2014-08,5,12
2014-09,3,16
2014-10,4,27
2014-11,2,34
2014-12,8,21
