Kategorie: Alle Kategorien

Monat,Calima: (Land Valencia),contaminacion: (Land Valencia)
2005-01,0,0
2005-02,0,98
2005-03,0,0
2005-04,0,68
2005-05,0,33
2005-06,100,0
2005-07,0,0
2005-08,45,0
2005-09,0,0
2005-10,0,23
2005-11,0,71
2005-12,27,37
2006-01,61,70
2006-02,0,0
2006-03,0,19
2006-04,34,0
2006-05,0,46
2006-06,45,58
2006-07,0,20
2006-08,0,0
2006-09,0,19
2006-10,16,28
2006-11,34,28
2006-12,0,84
2007-01,0,13
2007-02,0,47
2007-03,0,29
2007-04,23,35
2007-05,0,39
2007-06,16,35
2007-07,0,0
2007-08,25,0
2007-09,14,0
2007-10,10,38
2007-11,0,17
2007-12,0,46
2008-01,0,38
2008-02,0,36
2008-03,0,45
2008-04,0,36
2008-05,22,52
2008-06,0,24
2008-07,0,20
2008-08,0,17
2008-09,0,19
2008-10,11,58
2008-11,0,34
2008-12,0,9
2009-01,0,12
2009-02,0,0
2009-03,0,24
2009-04,11,33
2009-05,8,25
2009-06,10,21
2009-07,0,13
2009-08,0,14
2009-09,0,0
2009-10,0,17
2009-11,0,13
2009-12,0,14
2010-01,0,0
2010-02,0,0
2010-03,0,27
2010-04,22,24
2010-05,0,27
2010-06,10,0
2010-07,0,12
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,11
2010-12,0,28
2011-01,6,14
2011-02,8,31
2011-03,0,26
2011-04,0,11
2011-05,2,20
2011-06,0,14
2011-07,5,11
2011-08,7,5
2011-09,0,8
2011-10,4,14
2011-11,2,16
2011-12,0,17
2012-01,0,13
2012-02,7,14
2012-03,3,20
2012-04,5,17
2012-05,5,18
2012-06,7,15
2012-07,8,5
2012-08,0,4
2012-09,3,9
2012-10,0,10
2012-11,3,16
2012-12,3,9
2013-01,1,12
2013-02,5,15
2013-03,2,14
2013-04,7,16
2013-05,1,15
2013-06,3,17
2013-07,7,4
2013-08,10,8
2013-09,5,6
2013-10,3,13
2013-11,5,17
2013-12,1,11
2014-01,2,17
2014-02,6,14
2014-03,3,17
2014-04,5,18
2014-05,5,24
2014-06,3,12
2014-07,4,6
2014-08,4,6
2014-09,0,10
2014-10,2,13
2014-11,2,19
2014-12,4,11
