Kategorie: Alle Kategorien

Monat,Calima: (Katalonien)
2005-01,0
2005-02,36
2005-03,0
2005-04,0
2005-05,0
2005-06,100
2005-07,0
2005-08,56
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,62
2006-03,0
2006-04,0
2006-05,18
2006-06,24
2006-07,0
2006-08,31
2006-09,0
2006-10,0
2006-11,27
2006-12,20
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,19
2007-07,21
2007-08,0
2007-09,0
2007-10,12
2007-11,49
2007-12,0
2008-01,0
2008-02,22
2008-03,17
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,13
2008-10,0
2008-11,19
2008-12,0
2009-01,38
2009-02,0
2009-03,34
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,14
2009-10,0
2009-11,18
2009-12,0
2010-01,0
2010-02,10
2010-03,0
2010-04,0
2010-05,0
2010-06,7
2010-07,0
2010-08,0
2010-09,8
2010-10,7
2010-11,0
2010-12,0
2011-01,9
2011-02,0
2011-03,7
2011-04,4
2011-05,5
2011-06,7
2011-07,8
2011-08,4
2011-09,7
2011-10,0
2011-11,4
2011-12,3
2012-01,5
2012-02,3
2012-03,4
2012-04,0
2012-05,8
2012-06,10
2012-07,7
2012-08,9
2012-09,6
2012-10,0
2012-11,1
2012-12,3
2013-01,3
2013-02,5
2013-03,4
2013-04,0
2013-05,5
2013-06,9
2013-07,9
2013-08,6
2013-09,2
2013-10,5
2013-11,4
2013-12,2
2014-01,5
2014-02,2
2014-03,4
2014-04,2
2014-05,0
2014-06,4
2014-07,7
2014-08,4
2014-09,3
2014-10,7
2014-11,6
2014-12,5
2015-01,5
2015-02,1
2015-03,6
2015-04,1
2015-05,8
2015-06,4
2015-07,4
2015-08,6
2015-09,2
2015-10,4
2015-11,4
2015-12,4
2016-01,0
2016-02,5
2016-03,0
2016-04,5
2016-05,1
2016-06,6
2016-07,8
2016-08,5
2016-09,2
2016-10,0
2016-11,2
2016-12,5
2017-01,0
2017-02,7
2017-03,3
2017-04,3
2017-05,2
2017-06,4
2017-07,8
2017-08,7
2017-09,1
2017-10,3
2017-11,2
2017-12,0
2018-01,2
2018-02,3
2018-03,1
2018-04,5
2018-05,2
2018-06,2
2018-07,4
2018-08,4
2018-09,2
2018-10,1
2018-11,0
2018-12,5
2019-01,2
2019-02,6
2019-03,4
2019-04,2
2019-05,2
2019-06,1
2019-07,5
2019-08,4
2019-09,3
2019-10,1
2019-11,2
2019-12,2
2020-01,3
2020-02,52
2020-03,4
2020-04,1
2020-05,1
2020-06,4
2020-07,7
2020-08,9
2020-09,6
2020-10,4
2020-11,2
2020-12,6
2021-01,5
2021-02,16
2021-03,15
2021-04,5
2021-05,3
2021-06,7
2021-07,9
2021-08,10
2021-09,4
2021-10,3
2021-11,4
2021-12,4
2022-01,8
2022-02,4
2022-03,78
2022-04,9
2022-05,9
2022-06,5
2022-07,7
2022-08,7
2022-09,2
2022-10,3
2022-11,4
2022-12,3
2023-01,4
2023-02,11
2023-03,9
2023-04,4
2023-05,0
