Kategorie: Alle Kategorien

Stadt,Calima: (01.01.05 bis 31.12.14)
Peñarroya-Pueblonuevo,100
Tías,50
San Isidro,36
Costa Adeje,30
Estepona,27
Vecindario,26
Costa Teguise,21
Maspalomas,20
Alzira,20
Xàbia,20
Laudio,18
Melilla,12
Durango,10
La Orotava,10
Vélez-Málaga,10
Las Palmas de Gran Canaria,8
Irun,8
Brenes,7
La Línea de la Concepción,7
Boadilla del Monte,7
Benidorm,7
Marbella,7
Santa Cruz de Tenerife,7
Cáceres‎,6
San Cristóbal de La Laguna,6
Torrent,5
Alcoi,5
Gandia,5
Arrecife,5
Majadahonda,5
Algeciras,4
Castellbisbal,4
Málaga,3
Sant Quirze del Vallès,3
Vilanova i la Geltrú,3
Sant Boi de Llobregat,3
Ávila‎,3
Fresno,3
Manresa,3
Eibar,3
Mérida,3
Alicante,2
Pozuelo de Alarcón,2
Santander,2
Ibiza,2
Santa Pola,2
Alcorcón,2
Palma de Mallorca,2
Valencia,2
El Puerto de Santa María,2
Torrejón de Ardoz,2
Vic,2
Cabanas,2
Madrid,2
Cádiz,1
Oviedo,1
Alcobendas,1
Barcelona,1
Sevilla,1
Elda,1
Santiago de Compostela,1
Córdoba,1
Burgos,1
Vitoria-Gasteiz,1
Donostia-San Sebastián,1
Getafe,1
Granada,1
Lleida,1
Salamanca,1
Gijón,1
Coslada,1
Jaén,1
Leganés,1
Logroño,1
Mataró,1
Almería,1
Vigo,1
Murcia,1
El Prat de Llobregat,1
Sabadell,1
Castellón de la Plana,1
Terrassa,1
La Coruña,1
Lugo,1
Aviles,1
Bilbao,1
Segovia,1
Saragossa,1
Guadalajara,1
Ciudad Real,1
Tarragona,1
León,1
Valladolid,1
Badajoz,1
Toledo,1
Pamplona,1
L'Hospitalet de Llobregat,1
Cartagena,1
Tomares,1
Alcala de Henares,1
Badalona,1
Elche,<1
Albacete,<1
Huelva,<1
Girona,<1
Santa Maria de Palautordera,
Dénia,
Borriana,
Castillo Caleta de Fuste,
Sant Esteve Sesrovires,
Ingenio,
La Roda,
Calafell,
Marchena,
Gran Alacant,
Castelo,
Coria del Río,
Oliva,
El Campello,
Alhaurín de la Torre,
Caravaca de la Cruz,
Castelldefels,
Ceuta,
Ronda,
Cambrils,
Sant Feliu de Llobregat,
Plasencia,
Collado Villalba,
Telde,
Cerdanyola del Vallès,
Sa Vileta-Son Rapinya,
Dos Hermanas,
Paterna,
Baracaldo,
Jerez de la Frontera,
Huesca,
Soria,
San Vicente del Raspeig,
Granollers,
Ourense,
Pontevedra,
Cuenca,
Grau i Platja,
Fuenlabrada,
Cullera,
Port de Sagunt,
Cornellà de Llobregat,
Mollet del Vallès,
Antequera,
Sant Cugat del Vallès,
Puertollano,
Torrelavega,
Lorca,
Ontinyent,
Manacor,
Linares,
Zamudio,
San Pedro de Alcántara,
Miajadas,
Fuengirola,
Pozo Estrecho,
Pozoblanco,
Corró d'Avall,
Mora,
Benalmádena,
Calella,
Puerto de la Cruz,
Ayamonte,
Sant Joan Despí,
San Miguel,
Zamora,
Herrera,
Móstoles,
Molina de Segura,
Peralta,
Teruel,
Illescas,
Moncada,
Lejona,
Valdepeñas,
La Cañada,
La Vila Joiosa,
Puerto del Rosario,
San Sebastián de los Reyes,
Torrevieja,
Tacoronte,
Vila-real,
Luanco,
Laviada,
Lloret de Mar,
Lucena,
Novelda,
Úbeda,
Zarautz,
Sanxenxo,
Villena,
Tudela,
Basauri,
Carmona,
Laguna de Duero,
